source_key	qa_id	sentence
gmp_qa	6df46f4f39dbf9d7	Rapid method is one of the alternative monitoring systems that may expedite the detection of microorganisms pending that the requirements of annex 1 points 9.28, 9.30 and 9.31) are fulfilled.
gmp_qa	0ede2e07706ab12e	In the absence of specific national legislation or guidance, the outer packaging should have only one batch number, as allocated by the parallel trader.
gmp_qa	0ede2e07706ab12e	This batch number allocated by the parallel trader should incorporate two components; (1) the batch number of the original pack and (2) a unique code identifying the repackaging/relabelling run.
gmp_qa	0ede2e07706ab12e	The code for the repackaging run may comprise numbers or letters or a combination of both.
gmp_qa	0ede2e07706ab12e	The parallel trader’s batch number should be such that Component 1 above (originator batch number) is followed by Component 2 (a code related to the repackaging/relabelling run on that batch) .
gmp_qa	0ede2e07706ab12e	Any deviation from this approach should be presented to and should be authorised by the supervisory authority.
gmp_qa	0ede2e07706ab12e	The traceability between the original batch number and the parallel trader’s batch number should be documented in the manufacturer’s repackaging records.
quality_p1	b61111822d1b8efd	For class-2 residual solvents in active substances or medicinal products, it is sufficient to restrict the specification to the concentration limit (parts per million) as defined in the notes for guidance on impurities: residual solvents (CPMP/ICH/283/95 EMEA/CVMP/511/03) and related maintenance guidelines or to calculate it based on the respective permitted daily exposure (mg/day) outlined in the guidelines.
quality_p1	b61111822d1b8efd	It has been agreed by the QWP that there is no need for further tightening of the specification in line with batch results, as the limits in the guideline are based on safety assessment.
quality_p1	ea19de0d91ced298	H+V July 2008 It is the opinion of the Quality Working Party that the requirement in the harmonised chapter 2.9.40 regarding the 2% relative-standard-deviation clause represents minimum requirements.
quality_p1	354ada3c52080db5	Eur.) chapter on uniformity of dosage units (2.9.40) and the general chapters on uniformity of mass of single-dose preparations (2.9.5) and uniformity of content of single-dose preparations (2.9.6) should be applied in the European Union (EU), also in view of the compliance objection made by the United States Food and Drug Administration to the USP on the 2% relative-standard-deviation clause in general chapter 2.9.40.
quality_p1	339844e3735cbddb	Eur. general chapter 2.2.46, compliance with system suitability test (SST) criteria and other conditions described in the chapter ( e.g . selectivity and elution order of any specified impurities should be equivalent) is considered sufficient to show that the updated test procedure is at least equivalent to the former test procedure.
quality_p1	339844e3735cbddb	An SST covering the relevant critical analytical procedure attributes should be described in the dossier.
quality_p1	e688a94bbecfdc1a	The new product has the same formula and manufacturing method of the developed product.
quality_p2	b26122ad4b680145	In line with current regulatory practice, reference to this incompatibility, albeit dietary rather than medicinal, has been included in the product literature to supplement the current pharmacological warning to avoid alcohol.
